index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
32,nusatranslation_emot_bew_nusantara_text,0,eng,0.929,0.929,0.929,0.929,0.12195121951219512,0.1122225267196492,0.11587505348737698,1.0,0.929,0.9556561403508772
33,nusatranslation_emot_jav_nusantara_text,0,eng,0.916,0.916,0.916,0.916,0.10204081632653061,0.09346938775510204,0.09661586153448722,1.0,0.916,0.9468354430379746
34,nusatranslation_emot_mad_nusantara_text,0,eng,0.908,0.908,0.908,0.908,0.10869565217391304,0.09884343542514458,0.1023262254223207,1.0,0.908,0.9405222929936305
35,nusatranslation_emot_mak_nusantara_text,0,eng,0.907,0.907,0.907,0.907,0.10869565217391304,0.09415076634344698,0.09776733254994126,1.0,0.907,0.9301243243243243
36,nusatranslation_emot_min_nusantara_text,0,eng,0.893,0.893,0.893,0.893,0.08064516129032258,0.0721436516764659,0.07487323335850685,1.0,0.893,0.9273545150501673
37,nusatranslation_emot_mui_nusantara_text,0,eng,0.9355555555555556,0.9355555555555556,0.9355555555555556,0.9355555555555556,0.21739130434782608,0.20122630992196208,0.20746319753509074,1.0,0.9355555555555556,0.9604199475065617
38,nusatranslation_emot_rej_nusantara_text,0,eng,0.8777777777777778,0.8777777777777778,0.8777777777777779,0.8777777777777778,0.15625,0.1364942528735632,0.14180672268907563,1.0,0.8777777777777778,0.9106442577030812
39,nusatranslation_emot_sun_nusantara_text,0,eng,0.901,0.901,0.901,0.901,0.09803921568627451,0.08737341090282268,0.09071402145763965,1.0,0.901,0.9320075471698114
40,nusatranslation_senti_abs_nusantara_text,0,eng,0.998,0.998,0.998,0.998,0.75,0.7483974358974359,0.7491961414790997,1.0,0.998,0.9989967845659165
41,nusatranslation_senti_btk_nusantara_text,0,eng,0.9966666666666667,0.9966666666666667,0.9966666666666667,0.9966666666666667,0.42857142857142855,0.4272425249169435,0.4279038718291055,1.0,0.9966666666666667,0.9983255451713394
