index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
32,nusatranslation_emot_bew_nusantara_text,0,eng,0.865,0.865,0.865,0.865,0.060240963855421686,0.055796958325103695,0.057516498153417694,1.0,0.865,0.9172361809045226
33,nusatranslation_emot_jav_nusantara_text,0,eng,0.846,0.846,0.8459999999999999,0.846,0.07692307692307693,0.07086366319102892,0.07315041646251837,1.0,0.846,0.9041178343949045
34,nusatranslation_emot_mad_nusantara_text,0,eng,0.723,0.723,0.723,0.723,0.05434782608695652,0.04770131490546118,0.04956107002142807,1.0,0.723,0.8005071542130365
35,nusatranslation_emot_mak_nusantara_text,0,eng,0.709,0.709,0.709,0.709,0.04132231404958678,0.03589351342275619,0.037280366692131396,1.0,0.709,0.7833394957983194
36,nusatranslation_emot_min_nusantara_text,0,eng,0.828,0.828,0.828,0.828,0.060240963855421686,0.055124200505726605,0.056992861729047856,1.0,0.828,0.8908150470219437
37,nusatranslation_emot_mui_nusantara_text,0,eng,0.8844444444444445,0.8844444444444445,0.8844444444444445,0.8844444444444445,0.125,0.11661290322580645,0.11996124031007752,1.0,0.8844444444444445,0.9305770887166236
38,nusatranslation_emot_rej_nusantara_text,0,eng,0.6488888888888888,0.6488888888888888,0.6488888888888888,0.6488888888888888,0.08928571428571429,0.07572115384615384,0.07834994462901439,1.0,0.6488888888888888,0.7169336778639104
39,nusatranslation_emot_sun_nusantara_text,0,eng,0.807,0.807,0.807,0.807,0.05434782608695652,0.049168008588298444,0.05094778380663801,1.0,0.807,0.8733144246353323
40,nusatranslation_senti_abs_nusantara_text,0,eng,0.998,0.998,0.998,0.998,0.75,0.7472826086956521,0.7486338797814207,1.0,0.998,0.9989945355191258
41,nusatranslation_senti_btk_nusantara_text,0,eng,0.9991666666666666,0.9991666666666666,0.9991666666666666,0.9991666666666666,0.75,0.7484567901234568,0.7492260061919505,1.0,0.9991666666666666,0.9995820433436533
42,nusatranslation_senti_bew_nusantara_text,0,eng,0.9991666666666666,0.9991666666666666,0.9991666666666666,0.9991666666666666,0.75,0.7486842105263158,0.7493403693931399,1.0,0.9991666666666666,0.9995822339489886
43,nusatranslation_senti_bhp_nusantara_text,0,eng,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,nusatranslation_senti_jav_nusantara_text,0,eng,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45,nusatranslation_senti_mad_nusantara_text,0,eng,0.9975,0.9975,0.9975,0.9975,0.5,0.49702380952380953,0.4984984984984984,1.0,0.9975,0.9987387387387388
46,nusatranslation_senti_mak_nusantara_text,0,eng,0.9983333333333333,0.9983333333333333,0.9983333333333333,0.9983333333333333,0.6,0.596078431372549,0.598019801980198,1.0,0.9983333333333333,0.999158415841584
47,nusatranslation_senti_min_nusantara_text,0,eng,0.9983333333333333,0.9983333333333333,0.9983333333333333,0.9983333333333333,0.75,0.7473684210526316,0.7486772486772486,1.0,0.9983333333333333,0.9991622574955908
48,nusatranslation_senti_mui_nusantara_text,0,eng,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49,nusatranslation_senti_rej_nusantara_text,0,eng,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,nusatranslation_senti_sun_nusantara_text,0,eng,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51,nusax_senti_ace_nusantara_text,0,eng,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
52,nusax_senti_ban_nusantara_text,0,eng,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53,nusax_senti_bjn_nusantara_text,0,eng,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
54,nusax_senti_bug_nusantara_text,0,eng,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
55,nusax_senti_eng_nusantara_text,0,eng,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
56,nusax_senti_ind_nusantara_text,0,eng,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
57,nusax_senti_jav_nusantara_text,0,eng,0.9975,0.9975,0.9975,0.9975,0.75,0.7484076433121019,0.7492012779552716,1.0,0.9975,0.9987460063897763
58,nusax_senti_mad_nusantara_text,0,eng,0.9975,0.9975,0.9975,0.9975,0.75,0.7478632478632479,0.7489270386266095,1.0,0.9975,0.9987446351931331
59,nusax_senti_min_nusantara_text,0,eng,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60,nusax_senti_nij_nusantara_text,0,eng,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
61,nusax_senti_sun_nusantara_text,0,eng,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
62,nusax_senti_bbc_nusantara_text,0,eng,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
63,smsa_nusantara_text,0,eng,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
64,wrete_nusantara_pairs,0,eng,0.6,0.6,0.6,0.6,0.047619047619047616,0.037378392217101895,0.04109589041095891,1.0,0.6000000000000001,0.745205479452055
