index,dataset,BLEU,SacreBLEU,chrF++,ROUGE1,ROUGE2,ROUGEL,ROUGELsum,BLEU_latin,SacreBLEU_latin,chrF++_latin,ROUGE1_latin,ROUGE2_latin,ROUGEL_latin,ROUGELsum_latin,prompt_id
0,liputan6_xtreme_nusantara_t2t,0.5368131975616826,0.5532183328114793,23.001199872713837,5.8700399164842,1.663662303121096,4.984855571950864,4.99101667132773,0.5368131975616826,0.5532183328114793,23.001199872713837,5.878186839911896,1.6677202041529136,4.984878566487556,4.988835149747077,0
1,nusatranslation_mt_ind_abs_nusantara_t2t,17.836816501182913,20.293571126682775,45.162167716700324,34.611674086421765,14.23923079414805,33.68161254941615,33.692000783855605,17.836816501182913,20.293571126682775,45.169201102626175,34.67250859212629,14.166750565091446,33.54254708650462,33.634495968652736,0
2,nusatranslation_mt_ind_btk_nusantara_t2t,14.276002207183355,16.883256185660546,37.45563560381377,26.8830763244143,11.502734616261472,25.63316381229921,25.625943166476606,14.277250647161546,16.881178808906345,37.45669760657963,26.852270459947885,11.533424426554648,25.577504683874498,25.577476489162816,0
3,nusatranslation_mt_ind_bew_nusantara_t2t,19.713533886087188,22.440649658561906,46.75231776326044,34.88001256233503,15.904248244641966,34.642631041199465,34.64253865999779,19.732727040079265,22.463832883703226,46.7971118214563,34.93217447789142,15.89770885469246,34.64007680209687,34.66766121755174,0
4,nusatranslation_mt_ind_jav_nusantara_t2t,22.454671119232714,25.082521096058127,46.248088685561946,41.883082030111154,20.604490355388062,41.23581284708199,41.22480081091043,22.61991522850533,25.24570065607934,46.490902310345525,42.26860580934285,20.89921997710107,41.6133553011685,41.61678916485646,0
5,nusatranslation_mt_ind_mad_nusantara_t2t,13.906530270866888,17.17560828910707,34.30927020055209,22.533424011864106,10.054806685604795,22.357237377417338,22.31114141696971,13.921463026429977,17.20077755604737,34.42379351019827,22.62360786547094,10.109940192695008,22.389765407915156,22.419479743228493,0
6,nusatranslation_mt_ind_mak_nusantara_t2t,11.64293303002499,14.488026324064332,32.38552662781915,17.629604976100058,8.003786011259958,17.365872141894844,17.3606156453473,11.654404814647142,14.494407078712852,32.42882127349313,17.644059725967402,8.035174284855351,17.41051490556766,17.37225952411822,0
7,nusatranslation_mt_ind_min_nusantara_t2t,21.866293942021738,24.402039664838757,50.26605946031357,39.989173762566445,20.056040915641262,39.650411579082494,39.67949551644958,21.879913349805406,24.41642460458207,50.27291134741086,40.028374101602175,20.047190454858022,39.63954033439009,39.678536813472945,0
8,nusatranslation_mt_ind_mui_nusantara_t2t,14.698256152801228,17.33710055103035,41.680187389942596,29.720756954408955,12.980627962952184,29.38563842574261,29.410025842648498,14.717976864809696,17.335599984382785,41.805815424368745,29.79310400431654,13.031282057012628,29.428226427343624,29.38531529229277,0
9,nusatranslation_mt_ind_rej_nusantara_t2t,12.76469993813653,15.275625308013005,33.60129689021535,20.034171792692675,9.40906852073908,19.949110297557,19.895649394242064,12.765329506987294,15.275717482993846,33.62810594604574,19.931269426510077,9.41984721258513,19.822874781819312,19.733162305727316,0
10,nusatranslation_mt_ind_sun_nusantara_t2t,21.381608754092035,24.069391220829758,45.33949616960868,39.02804834800149,18.900731928882276,38.21488181898033,38.190199724181426,21.735702257652903,24.42094379309323,45.667266174647885,39.892374062402716,19.43273027118737,38.9953426932886,39.029586328016244,0
11,nusatranslation_mt_abs_ind_nusantara_t2t,21.23935043730498,23.837880610157253,49.5271711640506,44.9481462400488,21.94630156311205,43.63519750044039,43.641453470041135,21.23935043730498,23.837880610157253,49.5271711640506,45.04418565168362,21.995541798462032,43.68552485223681,43.65596123273231,0
12,nusatranslation_mt_btk_ind_nusantara_t2t,16.198970897906367,18.577179144436116,41.78559489050741,34.539373969982194,16.17057469862622,32.80767068898665,32.84451299430834,16.199559478743907,18.57780119658486,41.786421154721424,34.542739381937324,16.225248915559103,32.82478622315732,32.836148947463855,0
13,nusatranslation_mt_bew_ind_nusantara_t2t,30.078020174176316,32.476152876446115,58.46918499117832,53.93834406671484,32.44006085935066,53.38990307195226,53.38812423837269,30.10115159524237,32.498989216444855,58.487245686022206,54.03900906892329,32.48206371583022,53.425907010441065,53.45719179017014,0
14,nusatranslation_mt_jav_ind_nusantara_t2t,24.354198941199012,26.855108582042433,51.65076632198187,47.9363646516129,26.140458460684744,46.866309238554116,46.9432294761868,24.354198941199012,26.855108582042433,51.65076632198187,47.89765962083998,26.134253791245676,46.90078422332108,46.8886310852238,0
