index,dataset,BLEU,SacreBLEU,chrF++,ROUGE1,ROUGE2,ROUGEL,ROUGELsum,BLEU_latin,SacreBLEU_latin,chrF++_latin,ROUGE1_latin,ROUGE2_latin,ROUGEL_latin,ROUGELsum_latin,prompt_id
0,liputan6_xtreme_nusantara_t2t,3.313146150680442,3.332340858387586,26.46294877617273,25.083020457143157,8.938865791732745,20.362928338185093,20.351322266274156,3.313146150680442,3.332340858387586,26.46294877617273,25.064395993428345,8.947302319353847,20.348851318119046,20.360670539676036,0
1,liputan6_xtreme_nusantara_t2t,2.727090671604336,2.7330701784273774,24.631809124877986,24.241451767920392,8.457214894997096,19.796469224057088,19.784214084205065,2.727090671604336,2.7330701784273774,24.631809124877986,24.240912757539324,8.452512255202937,19.79830130288734,19.78892809551881,1
2,liputan6_xtreme_nusantara_t2t,3.7144787160650434,3.734858129892235,28.703950158682325,24.75937466654751,8.627824105296455,19.84381830887134,19.835051679982598,3.7144787160650434,3.734858129892235,28.70414858808527,24.760285259560195,8.61363570253826,19.832843668834418,19.844920642387816,2
3,nusatranslation_mt_ind_abs_nusantara_t2t,9.840835796401949,11.494757121354358,31.353904255687798,18.996976432034707,6.943645378655501,18.414991356099023,18.452964557023506,9.854010190816458,11.506644459282246,31.539129639645953,19.136503965650626,7.007314829223245,18.61676942246862,18.70685940755327,0
4,nusatranslation_mt_ind_abs_nusantara_t2t,8.19039902002308,9.658705895728053,29.745630405090257,18.533785059804273,6.203031352706126,17.9819022940666,17.935540701956178,8.193870415701108,9.662549231867445,29.890194096048255,18.608025042100344,6.209296500458323,17.997207694349132,18.015041016591066,1
5,nusatranslation_mt_ind_abs_nusantara_t2t,5.627389791426476,7.358697324553776,17.570926197857066,7.564600218211737,3.4548479110202965,7.408633682013391,7.372760727242341,5.7714772985136085,7.382213974516412,18.381979028340133,7.854396834478086,3.517581843232852,7.696345011730451,7.6910535062989895,2
6,nusatranslation_mt_ind_btk_nusantara_t2t,10.867853395104813,12.75886051282052,32.88551345292136,19.866514779540083,8.393361308003414,19.518768211539587,19.51792806483794,10.877643468822605,12.76836354383104,32.8907430758575,19.875673619534044,8.384872881934786,19.51345042535881,19.51392149255763,0
7,nusatranslation_mt_ind_btk_nusantara_t2t,9.078265930771257,10.794754895248433,30.990866786709443,17.882242158757098,7.039310248860555,17.530518139266345,17.51259488143026,9.082295672054537,10.799010703145223,30.99459833288178,17.905653394389564,7.052397531822166,17.52340396564897,17.501993487353012,1
8,nusatranslation_mt_ind_btk_nusantara_t2t,9.856565300245725,12.138490424344571,31.45952440515566,17.85400243081369,7.363296182275783,17.426621031449468,17.425089711629944,9.869071972067967,12.14657243303147,31.46922039863984,17.85595209054564,7.362371020945449,17.45336767913078,17.46009466307915,2
9,nusatranslation_mt_ind_bew_nusantara_t2t,12.08494221087664,14.158341270697948,35.09113773327249,23.266266123963373,8.961361896983833,22.851577033514154,22.861020523330367,12.090532722287483,14.163934037016675,35.09368900044863,23.250036619256342,8.971178161549417,22.872062979738743,22.86967917062257,0
10,nusatranslation_mt_ind_bew_nusantara_t2t,10.024205524165195,11.867366532812394,32.28549795909055,20.30170662416664,7.347159365037611,19.830297429230935,19.861297803582982,10.02796246696843,11.872998188492023,32.290609719149515,20.316355186108147,7.369688128324168,19.864828076875817,19.835823370380325,1
11,nusatranslation_mt_ind_bew_nusantara_t2t,10.527808926534513,12.697279335642362,32.1531849112521,20.398412139394473,7.687702472033855,19.763564436369254,19.7609238518477,10.525227709366634,12.681311903753793,32.16517335471864,20.399151611826337,7.72274903079239,19.775610074440745,19.769077281370446,2
12,nusatranslation_mt_ind_jav_nusantara_t2t,15.813169704615019,17.87503376821126,39.48960300556848,35.58252118089549,14.885395772629487,34.13369109882398,34.12698172125557,15.927312967603305,17.9896662196831,39.65818571616636,35.94236836418835,15.12160363983664,34.425285652487695,34.4391889015314,0
13,nusatranslation_mt_ind_jav_nusantara_t2t,13.917916030437363,15.838999577380397,37.4816440160442,33.82931675964837,13.463152253368715,32.283471280310835,32.27844035876307,13.993790076663885,15.914202513673136,37.60925028956339,34.07246507904623,13.523851279014004,32.48717295363899,32.50119832669529,1
14,nusatranslation_mt_ind_jav_nusantara_t2t,13.755507269345296,15.94809469327813,37.232959124563635,32.80125460545235,12.994642180447032,30.995827563122553,31.008203470289565,13.855873538510325,16.039144492756556,37.38756277189339,33.01704649067596,13.064097620538059,31.187779981486518,31.19417022112991,2
15,nusatranslation_mt_ind_mad_nusantara_t2t,10.163376101489527,12.725560468475777,28.91997066369284,18.026074370305835,7.340591273276637,17.84230231928238,17.834123149569876,10.173761127659093,12.73114436270397,29.065960013202247,18.08079653780054,7.366562694390906,17.857332893286376,17.87361626731474,0
16,nusatranslation_mt_ind_mad_nusantara_t2t,8.27227599313442,10.391324308969955,24.81800147611092,14.596180400305018,5.90652119341201,14.383373654773578,14.389923008238508,8.296279843281656,10.408850276755741,25.338746966533414,14.669882410916003,5.974462907639445,14.4533189294482,14.438087347401096,1
17,nusatranslation_mt_ind_mad_nusantara_t2t,6.522267567733782,8.38872971615058,16.241877634991745,9.905289055754087,4.852182812196298,9.750506533568162,9.758356926401628,6.62250635229621,8.31380650835785,18.486432832499172,9.961185707818382,4.809773957362435,9.817094140940446,9.83185129137991,2
18,nusatranslation_mt_ind_mak_nusantara_t2t,8.097469984036216,10.759133418178934,29.25817565783258,13.857687126569152,5.765097193457036,13.693221332957009,13.714227319729435,8.097458259474768,10.75714562925108,29.25976372415711,13.874745285953077,5.758910190812825,13.708547307937286,13.711307192094493,0
19,nusatranslation_mt_ind_mak_nusantara_t2t,7.015962180314019,9.236577136155299,27.891068662202752,12.341614364959229,4.950532810063506,12.17698735335695,12.196345426223749,7.020467479245992,9.237818054720837,27.894075330102417,12.369149459616205,4.979192047642598,12.170958128750451,12.197686347077518,1
20,nusatranslation_mt_ind_mak_nusantara_t2t,7.82504583911033,10.131949527623792,28.349481610857453,12.664347597071954,5.486132404745662,12.438572602396983,12.450441512910631,7.827902742918513,10.131244146589598,28.35481790294615,12.623131562170373,5.4667982963072435,12.456290966785485,12.47384863394408,2
21,nusatranslation_mt_ind_min_nusantara_t2t,14.259727638921426,16.338246197132314,40.019098291024534,29.401693667444427,12.349607270514149,28.682637904024293,28.674486232050135,14.279386871161915,16.36071758333192,40.03083525027305,29.418335930062334,12.365811208666285,28.702325747018588,28.700568991233744,0
22,nusatranslation_mt_ind_min_nusantara_t2t,12.21166432005376,14.176682787081301,37.45493589178178,26.068824942768,10.171022121546757,25.3753853279894,25.318814046817412,12.2133470849515,14.178734245577713,37.456783888487315,26.04583771318586,10.158701317204768,25.36559029547464,25.349041474294953,1
23,nusatranslation_mt_ind_min_nusantara_t2t,12.411737026278663,14.695135439982533,37.04120471231902,26.29981084059948,10.31525024820409,25.272467947108147,25.307905383636363,12.418665621395585,14.701093836104416,37.04505009981901,26.296774585459616,10.273949604029372,25.32040026064023,25.302766627993904,2
24,nusatranslation_mt_ind_mui_nusantara_t2t,11.367771222040693,13.025128822971148,37.13820969987621,27.408297853017448,10.297660137068847,26.82042217969658,26.855647396827404,11.367771222040693,13.025128822971148,37.15068414221012,27.433396610141447,10.310951002101255,26.856730425721707,26.85668593686469,0
25,nusatranslation_mt_ind_mui_nusantara_t2t,9.342660963261821,10.751560992584484,34.919953366271734,25.742791496674766,8.97682509673275,24.846871907815228,24.866463542583407,9.34346445442616,10.753975497792572,34.958295766371045,25.77271161102601,8.989236407348692,24.850204888539988,24.87789813851607,1
26,nusatranslation_mt_ind_mui_nusantara_t2t,4.481092874141896,5.619090313824488,20.44227813879941,9.828286713010945,3.554582407150988,9.416484099226876,9.407201838079123,4.505694954138022,5.622159743334824,21.153636823087734,9.904196030088846,3.63332710980388,9.547898330411622,9.590125221642479,2
27,nusatranslation_mt_ind_rej_nusantara_t2t,10.447914999053808,12.16857700184535,30.219277098838504,17.324848425922973,6.91433323449141,17.15991860154615,17.160319507078007,10.447914999053808,12.16857700184535,30.226873141165157,17.29602525790959,6.877794557608683,17.05680104101699,17.05429377963813,0
28,nusatranslation_mt_ind_rej_nusantara_t2t,7.659455359281858,9.016381760790054,27.49401702124287,14.67805328061489,5.179085770913142,14.303219825316749,14.366651692575584,7.660236179451978,9.017157597114476,27.514878733764313,14.545892545038521,5.1605097859367834,14.218897841345346,14.13282924941463,1
29,nusatranslation_mt_ind_rej_nusantara_t2t,7.175204701235067,8.775111005215317,25.174794209161668,12.891531731987074,5.037872291976645,12.566614213500843,12.560211138233889,7.19742060651936,8.770316702658308,25.26741892121949,12.29206897840427,5.024918233689403,11.985523090297312,12.022106400072337,2
30,nusatranslation_mt_ind_sun_nusantara_t2t,15.022278199650657,17.073273083360895,39.71384952219329,34.57869507629883,13.888249770251765,33.057874750361705,33.038382882818,15.406261550841736,17.45256167513654,40.23537445264279,35.825247216186206,14.5326163982507,34.17191565378553,34.175536769731075,0
31,nusatranslation_mt_ind_sun_nusantara_t2t,12.569085533272716,14.399925748254065,37.47221197710525,31.824240301880636,12.215473521110583,30.120850458565297,30.144083387152275,12.912100250161002,14.747703508432908,38.014067070352894,33.20340187124506,12.886172300880409,31.357308114468406,31.327458921315266,1
32,nusatranslation_mt_ind_sun_nusantara_t2t,12.682223762523051,14.873672460815285,36.38990186866182,29.844501591611305,11.12076810077862,28.092426790589563,28.07400578157266,12.930345802618964,15.136247525248857,36.90873530239084,31.241476809740632,11.760356614335953,29.30271149271919,29.334728941768184,2
33,nusatranslation_mt_abs_ind_nusantara_t2t,14.105728167391856,15.95107437752842,39.59483375436297,34.425096178623924,13.399613311417896,32.498972474260796,32.57358447928006,14.105576524373328,15.950959012317051,39.59628970770156,34.423251467601624,13.43234977315156,32.58607029107715,32.48840952003408,0
34,nusatranslation_mt_abs_ind_nusantara_t2t,11.026008013316039,12.751393861434435,36.54811267963119,30.03706668536076,11.225699624305669,28.2828791296218,28.258867292469304,11.051265663615888,12.77542325616111,36.562624332777965,30.027893408316597,11.345347994215192,28.322667675175506,28.32592221612075,1
35,nusatranslation_mt_abs_ind_nusantara_t2t,12.967242995587839,14.816897249135959,37.205439866123626,30.612742903882683,11.556628706387242,28.586953692084016,28.607442954551864,12.967242995587839,14.816776737159566,37.205439866123626,30.57816980164265,11.63834371018167,28.57709167373887,28.55884578761334,2
36,nusatranslation_mt_btk_ind_nusantara_t2t,12.748215356124218,14.788224198850138,35.748599732858764,27.60284326302669,11.489035470721202,26.17345907518031,26.149895782039856,12.755779243923001,14.791318185519643,35.75174796215179,27.63512960198885,11.475169477418017,26.17022937085242,26.191788367233286,0
