index,dataset,BLEU,SacreBLEU,chrF++,ROUGE1,ROUGE2,ROUGEL,ROUGELsum,BLEU_latin,SacreBLEU_latin,chrF++_latin,ROUGE1_latin,ROUGE2_latin,ROUGEL_latin,ROUGELsum_latin,prompt_id
0,liputan6_xtreme_nusantara_t2t,3.709702768123882,3.741946281516781,40.97212755529635,26.5484426843415,9.87070334508211,19.76491713018757,19.76440141798529,3.7202082853284737,3.74004125236293,40.9682608387782,26.53344944248619,9.864124732984767,19.767551671547125,19.746068436821712,0
1,nusatranslation_mt_ind_abs_nusantara_t2t,11.084752511738214,13.414044774926266,31.66457210192019,21.83718240920153,9.17584370949626,21.354295464407688,21.262320056447578,11.163453901217894,13.489236752233042,31.749975307204654,21.931090004977065,9.247948177004535,21.4730512380127,21.54975606376386,0
2,nusatranslation_mt_ind_btk_nusantara_t2t,8.144703240680709,10.010475090140195,28.528668984992795,18.35807069893595,7.0953123362332065,17.30353606700474,17.274535025977123,8.148455596156037,10.013045123064826,28.536478081917586,18.378104171000224,7.133754442190457,17.314715917171334,17.29358352147458,0
3,nusatranslation_mt_ind_bew_nusantara_t2t,16.65545235009186,19.230884610611895,44.87210111130043,34.37186555508891,14.747956989412947,33.876419934423815,33.8632094811076,16.65545235009186,19.230884610611895,44.87540768819442,34.37328992812971,14.745334864037929,33.849324746317386,33.87782318205046,0
4,nusatranslation_mt_ind_jav_nusantara_t2t,16.113631226878812,18.649695762394806,39.286018308236464,33.12433530409968,14.218692093709112,32.08433926983112,32.07634803030502,16.154828345431195,18.688598621316444,39.47995963796505,33.31083530664007,14.284598617118998,32.29758133868381,32.273726196036996,0
5,nusatranslation_mt_ind_mad_nusantara_t2t,11.901611244225894,14.569625056017708,30.75703933034116,20.574307575781987,8.909684372043577,20.280389581426,20.295541168715598,11.96338255269287,14.622944586038422,31.8164641907909,20.835206527601347,8.997419490302441,20.520949546140873,20.527330820954937,0
6,nusatranslation_mt_ind_mak_nusantara_t2t,10.016839329252726,12.898198065860278,30.756918654477044,16.48896034392519,7.201913812480111,16.063556630528122,16.08781322220946,10.042875569963075,12.904177980107606,30.848997869262185,16.482913280636613,7.199141813786084,16.076443813988945,16.061703177766258,0
7,nusatranslation_mt_ind_min_nusantara_t2t,15.39401829487559,17.963884502800607,42.46663891214139,31.61080121704315,13.746153834268245,31.011476645468388,31.000275964859846,15.4310237085371,17.98653517086681,42.49842750804783,31.653832333535465,13.77799164337917,31.06318444209672,31.06958561397775,0
8,nusatranslation_mt_ind_mui_nusantara_t2t,10.422140361347909,12.784616128540833,37.41103404859744,27.53748319668411,11.266455633568908,26.849999837320986,26.822481331695176,10.437538723969872,12.800040718521164,37.467195074505845,27.66060205897788,11.326867125000293,26.971406514343975,26.915085947901613,0
9,nusatranslation_mt_ind_rej_nusantara_t2t,10.647583275363262,13.475952037761688,30.783934288097175,17.95820575700497,7.775706258033274,17.784376552177918,17.789776615406577,10.654072544594738,13.489991054212874,30.819384428738,17.966732149376686,7.788206896850006,17.742466718853684,17.753179251850824,0
10,nusatranslation_mt_ind_sun_nusantara_t2t,14.57604430483394,17.04401324262845,38.301240429552834,29.948825449976713,12.510340955721656,28.793927363501666,28.81223892979526,14.595331617889917,17.0617754345337,38.422710114677436,30.118355304933893,12.573241984894976,28.93184059683821,28.929186631484505,0
